Country,Region,code,Subregion
Afghanistan,Asia,AFG,Southern Asia
Albania,Europe,ALB,Southern Europe
Algeria,Africa,DZA,Northern Africa
American Samoa,Oceania,ASM,Polynesia
Andorra,Europe,AND,Southern Europe
Angola,Africa,AGO,Middle Africa
Anguilla,Latin America,AIA,Caribbean
Antigua and Barbuda,Latin America,ATG,Caribbean
Argentina,Latin America,ARG,South America
Armenia,Asia,ARM,Western Asia
Aruba,Latin America,ABW,Caribbean
Australia,Oceania,AUS,Australia and New Zealand
Austria,Europe,AUT,Western Europe
Azerbaijan,Asia,AZE,Western Asia
Bahamas,Latin America,BHM,Caribbean
Bahrain,Asia,BHR,Western Asia
Bangladesh,Asia,BGD,Southern Asia
Barbados,Latin America,BRB,Caribbean
Belarus,Europe,BLR,Eastern Europe
Belgium,Europe,BEL,Western Europe
Belize,Latin America,BLZ,Central America
Benin,Africa,BEN,Western Africa
Bermuda,Northern America,BMU,Northern America
Bhutan,Asia,BTN,Southern Asia
Bolivia,Latin America,BOL,South America
Bosnia and Herzegovina,Europe,BIH,Southern Europe
Botswana,Africa,BWA,Southern Africa
Brazil,Latin America,BRA,South America
British Virgin Islands,Latin America,VGB,Caribbean
Brunei Darussalam,Asia,BRN,South-Eastern Asia
Bulgaria,Europe,BGR,Eastern Europe
Burkina Faso,Africa,BFA,Western Africa
Burundi,Africa,BDI,Eastern Africa
Cabo Verde,Africa,CPV,Western Africa
Cambodia,Asia,KHM,South-Eastern Asia
Cameroon,Africa,CMR,Middle Africa
Canada,Northern America,CAN,Northern America
Cayman Islands,Latin America,CYM,Caribbean
Central African Republic,Africa,CAF,Middle Africa
Chad,Africa,TCD,Middle Africa
Chile,Latin America,CHL,South America
China,Asia,CHN,Eastern Asia
Colombia,Latin America,COL,South America
Comoros,Africa,COM,Eastern Africa
Congo,Africa,COG,Middle Africa
"Congo, The Democratic Republic Of The",Africa,COD,Middle Africa
Cook Islands,Oceania,COK,Polynesia
Costa Rica,Latin America,CRI,Central America
Cote D'Ivoire,Africa,CIV,Western Africa
Croatia,Europe,HRV,Southern Europe
Cuba,Latin America,CUB,Caribbean
Curacao,Latin America,CUW,Caribbean
Cyprus,Asia,CYP,Western Asia
Czech Republic,Europe,CZE,Eastern Europe
Denmark,Europe,DNK,Northern Europe
Djibouti,Africa,DJI,Eastern Africa
Dominica,Latin America,DMA,Caribbean
Dominican Republic,Latin America,DOM,Caribbean
Ecuador,Latin America,ECU,South America
Egypt,Africa,EGY,Northern Africa
El Salvador,Latin America,SLV,Central America
Equatorial Guinea,Africa,GNQ,Middle Africa
Eritrea,Africa,ERI,Eastern Africa
Estonia,Europe,EST,Northern Europe
Ethiopia,Africa,ETH,Eastern Africa
Falkland Islands (Islas Malvinas),Latin America,FLK,South America
Faroe Islands,Europe,FRO,Northern Europe
Fiji,Oceania,FJI,Melanesia
Finland,Europe,FIN,Northern Europe
France,Europe,FRA,Western Europe
French Polynesia,Oceania,PYF,Polynesia
Gabon,Africa,GAB,Middle Africa
Gambia,Africa,GMB,Western Africa
Georgia,Asia,GEO,Western Asia
Germany,Europe,DEU,Western Europe
Ghana,Africa,GHA,Western Africa
Gibraltar,Europe,GIB,Southern Europe
Greece,Europe,GRC,Southern Europe
Greenland,Northern America,GRL,Northern America
Grenada,Latin America,GRD,Caribbean
