Term,Definition,Examples,,,,,,,,
Area protection,"Establishing or expanding public or private parks, reserves, and other protected areas roughly equivalent to IUCN Categories I-VI (includes marine protected areas) (including in Land/Water Protection)","national parks, nature reserves, marine protected areas (MPAs), town wildlife sanctuaries, private reserves, tribally owned hunting grounds, communal protected areas, etc. ",,,,,,,,
Resource protection/management,Establishing protection or easements of some specific aspect of the resource on public or private lands outside of IUCN Categories I-VI (included in Land/Water protection),"easements, development rights, water rights, instream flow rights, wild & scenic river designation, etc. ",,,,,,,,
Land/Water management,"Actions directed at conserving or restoring sites, habitats and the wider environment ","Site/area management, invasive/problematic species control, and habitat & natural process restoration",,,,,,,,
Species management,"Actions directed at managing or restoring species, focused on the species of concern itself ","Species management (harvest, trade, limiting population growth), species recovery, species re-introduction (re-introduction, benign introduction), ex-situ conservation (captive breeding/artificial propogation, genome resource bank)",,,,,,,,
Education,"Actions directed at people to improve understanding and skills, and influence behavior ","Formal education, training, awareness & communications",,,,,,,,
Law & Policy,"Actions to develop, change, influence, and help implement formal legislation, regulations, and voluntary standards ","Legislation (internation, national, sub-national, and unspecified levels), policies & regulations, private sector standards & codes, compliance & enforcement (international, national, sub-national, and unspecified levels)",,,,,,,,
"Livelihood, economic & other incentives",Actions to use economic and other incentives to influence behaviour ,"Linked enterprises & livelihood alternatives, substitution, market forces, conservation payments, non-monetary values",,,,,,,,
External capacity building,Actions to build infrastructure to do better conservation,"Institutional & civil society development, alliance & partnership development, conservation finance",,,,,,,,
Site/area management,Management of protected areas and other resource lands for conservation ,"maintenenance of habitat, site design, demarcating borders, erecting fences, training park staff, control of poachers, etc. ",,,,,,,,
Invasive/problematic species control,"Controlling and/or preventing invasive and/or other problematic plants, animals, and pathogens ","cutting vines off trees, preventing ballast water discharge, etc. ",,,,,,,,
Habitat & natural process restoration,Enhancing degraded or restoring missing habitats and ecosystem functions; dealing with pollution ,"creating forest corridors, prairie re-creation, riparian tree plantings, coral reef restoration, mangrove replanting, prescribed burns, breaching levees, dam removal, installing fish ladders, liming acid lakes, cleaning up oil spills , modifying land use policy (to reduce or stop logging and sedimentation), etc. ",,,,,,,,
