COUNTRY,COUNTS,REGION,CODE,SUBREGION,POINT
Israel,NA,Asia,ISR,Western Asia,164
Japan,NA,Asia,JPN,Eastern Asia,165
"Korea, South",NA,Asia,PRK,Eastern Asia,166
Turkey,NA,Asia,TUR,Western Asia,167
Austria,NA,Europe,AUT,Western Europe,168
Belgium,NA,Europe,BEL,Western Europe,169
Czech Republic,NA,Europe,CZE,Eastern Europe,170
Denmark,NA,Europe,DNK,Northern Europe,171
Estonia,NA,Europe,EST,Northern Europe,172
Faroe Islands,NA,Europe,FRO,Northern Europe,173
Finland,NA,Europe,FIN,Northern Europe,174
France,NA,Europe,FRA,Western Europe,175
Germany,NA,Europe,DEU,Western Europe,176
Gibraltar,NA,Europe,GIB,Southern Europe,NA
Greece,NA,Europe,GRC,Southern Europe,177
Guernsey,NA,Europe,GGY,Northern Europe,178
Hungary,NA,Europe,HUN,Eastern Europe,179
Iceland,NA,Europe,ISL,Northern Europe,180
Ireland,NA,Europe,IRL,Northern Europe,181
Isle of Man,NA,Europe,IMN,Northern Europe,182
Italy,NA,Europe,ITA,Southern Europe,183
Jersey,NA,Europe,JEY,Northern Europe,184
Luxembourg,NA,Europe,LUX,Western Europe,185
Netherlands,NA,Europe,NLD,Western Europe,186
Norway,NA,Europe,NOR,Northern Europe,187
Poland,NA,Europe,POL,Eastern Europe,188
Portugal,NA,Europe,PRT,Southern Europe,189
Slovakia,NA,Europe,SVK,Eastern Europe,190
Slovenia,NA,Europe,SVN,Southern Europe,191
Spain,NA,Europe,ESP,Southern Europe,192
Sweden,NA,Europe,SWE,Northern Europe,193
Switzerland,NA,Europe,CHE,Western Europe,194
United Kingdom,NA,Europe,GBR,Northern Europe,195
Anguilla,NA,Latin America,AIA,Caribbean,196
British Virgin Islands,NA,Latin America,VGB,Caribbean,205
Cayman Islands,NA,Latin America,CYM,Caribbean,198
Chile,NA,Latin America,CHL,South America,199
Falkland Islands (Islas Malvinas),NA,Latin America,FLK,South America,200
Mexico,NA,Latin America,MEX,Central America,201
Puerto Rico,NA,Latin America,PRI,Caribbean,202
Saint Martin,NA,Latin America,MAF,Caribbean,203
Sint Maarten,NA,Latin America,SXM,Caribbean,204
Virgin Islands,NA,Latin America,VGB,Caribbean,205
Bermuda,NA,Northern America,BMU,Northern America,206
Canada,NA,Northern America,CAN,Northern America,207
Greenland,NA,Northern America,GRL,Northern America,208
Saint Pierre and Miquelon,NA,Northern America,SPM,Northern America,209
United States,NA,Northern America,USA,Northern America,210
American Samoa,NA,Oceania,ASM,Polynesia,211
Australia,NA,Oceania,AUS,Australia and New Zealand,212
Cook Islands,NA,Oceania,COK,Polynesia,213
French Polynesia,NA,Oceania,PYF,Polynesia,214
Guam,NA,Oceania,GUM,Micronesia,215
New Zealand,NA,Oceania,NZL,Australia and New Zealand,216
Northern Mariana Islands,NA,Oceania,MNP,Micronesia,217
