code,code_def
area_protect,Area protection
area_mgmt,Area management
res_mgmt,Resource management/protection
sp_control,Species control
restoration,Restoration
sp_mgmt,Species management
sp_recov,Species recovery
sp_reint,Species reintroduction
ex_situ,Ex-situ conservation
form_ed,Formal education
training,Training
aware_comm,Awareness & Communications
legis,Legislation
pol_reg,Policies & Regulations
priv_codes,Private sector standards and codes
compl_enfor,Compliance & enforcement
liv_alt,Enterprises & livelihood alternatives
sub,Substitution
market,Market-based forces
non_mon,Non-monetary values
inst_civ_dev,Institutional & civil society development
part_dev,Alliance & partnership development
cons_fin,Conservation finance
sus_use,Sustainable use
other,Other
land_wat_mgmt,Land/Water management
species_mgmt,Species management
education,Education
law_policy,Law & Policy
liv_eco_inc,"Livelihood, economic & other incentives"
ext_cap_build,External capacity building
other,Other
mat_liv_std,Material living standards
eco_liv_std,Economic living standards
health,Health
education,Education
soc_rel,Social relations
sec_saf,Security & safety
gov,Governance & empowerment
sub_well,Subjective well-being
culture,Culture & Spiritual
free_choice,Freedom of choice/action
other,Other
M_P,Marine-Polar
M_TSS,Marine-Temperate Shelfs & Seas
M_TU,Marine-Temperate Upwelling
M_TRU,Marine-Tropical Upwelling
M_TRC,Marine-Tropical Coral Reefs
M_TSTSS,Marine-Tropical/Subtropical Shelfs & Seas
FW_LL,Freshwater-Large Lakes
FW_LRD,Freshwater-Large River Deltas
FW_PF,Freshwater-Polar Freshwaters
FW_MF,Freshwater-Montane Freshwaters
FW_TCR,Freshwater-Temperate Coastal Rivers
FW_TFRW,Freshwater-Temperate Floodplain Rivers & Wetland Complexes
FW_TUR,Freshwater-Temperate Upland Rivers
FW_TSTCR,Freshwater-Tropical/Subtropical Coastal Rivers
FW_TSTFRW,Freshwater-Tropical/Subtropical Floodplain Rivers & Wetland Complexes
FW_TSTUR,Freshwater-Tropical/Subtropical Upland Rivers
FW_XFEB,Freshwater-Xeric Freshwaters & Endorheic (Closed) Basins
FW_OI,Freshwater-Oceanic Islands
T_TSTMBF,Terrestrial-Tropical/Subtropical Moist Broadleaf Forests
T_TSTDBF,Terrestrial-Tropical/Subtropical Dry Broadleaf Forests
T_TSTCF,Terrestrial-Tropical/Subtropical Coniferous Forests
T_TBMF,Terrestrial-Temperate Broadleaf & Mixed Forests
T_TCF,Terrestrial-Temperate Coniferous Forests
T_BFT,Terrestrial-Boreal Forests/Taiga
T_MFWS,"Terrestrial-Mediterranean Forests, Woodlands & Scrubs"
T_TSTGSS,"Terrestrial-Tropical/Subtropical Grasslands, Savannas & Shrublands"
T_TGSS,"Terrestrial-Temperate Grasslands, Savannas, & Shrublands"
T_FGS,Terrestrial-Flooded Grasslands & Savannas
T_MGS,Terrestrial-Montane Grasslands & Shrublands
T_T,Terrestrial-Tundra
T_DXS,Terrestrial-Deserts & Xeric Shrublands
T_M,Terrestrial-Mangroves
MAR,Marine
FRW,Freshwater
GRS,Grasslands
FOR,Forests
TUN,Tundra
DES,Deserts
MAN,Mangrove
BACI,"Before/after, control/intervention"
BA,Before/after
CT,Change over time
CG,Comparison group
BACG,"Before/after, comparison group"
CGCI,"Comparison group, control/intervention"
None,No comparator
