Country,Region,code,SUBREGION,POINT
Algeria,Africa,DZA,Northern Africa,0
Angola,Africa,AGO,Middle Africa,1
Benin,Africa,BEN,Western Africa,2
Botswana,Africa,BWA,Southern Africa,3
Burkina Faso,Africa,BFA,Western Africa,4
Burundi,Africa,BDI,Eastern Africa,5
Cabo Verde,Africa,CPV,Western Africa,6
Cameroon,Africa,CMR,Middle Africa,7
Central African Republic,Africa,CAF,Middle Africa,8
Chad,Africa,TCD,Middle Africa,9
Comoros,Africa,COM,Eastern Africa,10
Congo,Africa,COG,Middle Africa,11
"Congo, The Democratic Republic Of The",Africa,COD,Middle Africa,12
Cote D'Ivoire,Africa,CIV,Western Africa,13
Djibouti,Africa,DJI,Eastern Africa,14
Egypt,Africa,EGY,Northern Africa,15
Equatorial Guinea,Africa,GNQ,Middle Africa,16
Eritrea,Africa,ERI,Eastern Africa,17
Ethiopia,Africa,ETH,Eastern Africa,18
Gabon,Africa,GAB,Middle Africa,19
Gambia,Africa,GMB,Western Africa,20
Ghana,Africa,GHA,Western Africa,21
Guinea,Africa,GIN,Western Africa,22
Guinea-Bissau,Africa,GNB,Western Africa,23
Kenya,Africa,KEN,Eastern Africa,24
Lesotho,Africa,LSO,Southern Africa,25
Liberia,Africa,LBR,Western Africa,26
Libya,Africa,LBY,Northern Africa,27
Madagascar,Africa,MDG,Eastern Africa,28
Malawi,Africa,MWI,Eastern Africa,29
Mali,Africa,MLI,Western Africa,30
Mauritania,Africa,MRT,Western Africa,31
Mauritius,Africa,MUS,Eastern Africa,32
Morocco,Africa,MAR,Northern Africa,33
Mozambique,Africa,MOZ,Eastern Africa,34
Namibia,Africa,NAM,Southern Africa,35
Niger,Africa,NER,Western Africa,36
Nigeria,Africa,NGA,Western Africa,37
Rwanda,Africa,RWA,Eastern Africa,38
Sao Tome and Principe,Africa,STP,Middle Africa,39
Senegal,Africa,SEN,Western Africa,40
Seychelles,Africa,SYC,Eastern Africa,41
Sierra Leone,Africa,SLE,Western Africa,42
Somalia,Africa,SOM,Eastern Africa,43
South Africa,Africa,ZAF,Southern Africa,44
South Sudan,Africa,SSD,Eastern Africa,45
Sudan,Africa,SDN,Northern Africa,46
Swaziland,Africa,SWZ,Southern Africa,47
"Tanzania, United Republic Of",Africa,TZA,Eastern Africa,48
Togo,Africa,TGO,Western Africa,49
Tunisia,Africa,TUN,Northern Africa,50
Uganda,Africa,UGA,Eastern Africa,51
Zambia,Africa,ZMB,Eastern Africa,52
Zimbabwe,Africa,ZWE,Eastern Africa,53
Afghanistan,Asia,AFG,Southern Asia,54
