aid,FullText
1,N
2,N
3,N
4,Y
5,N
6,N
7,N
8,N
9,N
10,N
11,N
12,N
13,Y
14,N
15,N
16,N
17,N
18,Y
19,Y
20,Y
21,N
22,N
23,Y
24,N
25,Y
26,N
27,N
28,N
29,N
30,N
31,Y
33,Y
34,N
35,Y
36,N
37,N
38,N
39,Y
40,N
41,N
42,N
43,Y
44,Y
45,N
46,Y
47,Y
48,N
49,N
50,N
51,N
52,N
53,Y
54,N
55,N
56,Y
57,N
58,N
59,N
60,N
61,N
62,Y
63,Y
64,Y
65,Y
66,Y
67,N
68,N
69,N
70,N
71,N
72,Y
73,N
74,N
75,Y
76,Y
78,N
79,Y
80,Y
81,N
82,Y
83,Y
84,Y
85,N
87,Y
88,N
89,N
90,N
91,N
92,N
93,Y
94,N
95,N
96,N
98,N
99,N
100,Y
101,Y
102,Y
103,Y
104,N
105,N
106,N
107,N
108,N
109,N
110,N
111,N
112,Y
113,N
114,Y
115,N
116,Y
117,N
118,Y
119,N
120,N
121,N
122,N
123,N
124,Y
125,N
126,N
127,N
128,N
129,N
130,N
131,N
132,N
133,Y
134,N
135,N
136,Y
137,N
138,N
139,Y
140,N
141,N
142,N
143,Y
144,N
146,Y
147,N
148,Y
149,N
150,Y
151,N
152,Y
153,N
155,N
156,N
157,N
158,Y
159,N
160,N
161,N
162,Y
163,Y
164,N
165,N
166,Y
167,N
168,N
169,N
170,N
171,N
172,N
173,N
174,N
175,Y
176,N
177,Y
178,Y
179,N
180,N
181,Y
182,N
183,N
184,Y
185,Y
186,Y
187,N
188,N
192,Y
193,Y
194,Y
195,Y
196,N
197,N
198,Y
199,N
200,N
201,Y
202,N
203,N
204,N
205,N
206,N
209,N
210,Y
211,N
212,Y
213,N
214,N
215,N
216,N
217,Y
218,N
219,Y
220,N
221,N
222,N
223,N
224,N
225,N
226,N
227,N
228,N
229,N
230,Y
231,N
232,Y
233,N
234,Y
235,Y
236,N
237,Y
238,N
239,N
240,N
241,N
242,N
243,Y
244,N
245,N
246,N
247,Y
248,N
249,Y
250,N
251,Y
252,N
253,N
254,Y
255,Y
256,Y
257,N
258,N
259,Y
260,N
261,N
262,N
263,N
264,Y
265,Y
266,Y
267,Y
268,N
269,N
270,N
271,Y
272,N
273,N
274,Y
275,N
276,N
277,N
278,N
279,Y
280,N
281,N
282,Y
283,Y
284,N
285,Y
286,N
287,Y
288,N
289,N
290,Y
291,Y
292,N
293,Y
294,N
295,N
296,N
297,N
298,Y
299,N
300,N
301,N
302,N
303,N
304,N
305,N
306,N
307,N
308,Y
309,Y
310,N
311,N
312,N
313,N
314,N
315,N
316,N
317,N
318,Y
319,N
320,N
321,N
322,N
323,N
324,N
325,Y
326,N
327,N
328,N
329,N
330,N
331,N
332,N
333,N
334,N
335,N
336,N
337,N
338,N
339,N
340,N
341,N
343,N
344,Y
345,N
346,N
347,N
348,Y
349,N
350,Y
352,N
353,N
354,N
355,N
356,N
358,N
359,Y
360,N
361,N
362,N
363,N
364,Y
365,N
366,N
367,Y
368,N
369,N
370,N
371,N
372,N
373,N
374,N
375,N
376,Y
377,Y
378,N
379,Y
380,N
381,Y
382,N
383,Y
384,N
385,N
386,Y
387,Y
389,Y
390,N
391,N
392,N
393,N
394,Y
395,N
396,N
397,N
398,N
399,N
400,N
401,N
402,N
403,Y
404,Y
405,N
406,Y
407,Y
408,N
409,N
410,Y
411,N
412,N
413,N
414,N
415,Y
416,Y
417,N
418,N
419,N
420,N
421,N
422,N
423,N
424,N
425,N
426,N
427,Y
428,N
429,N
430,Y
431,Y
432,N
433,N
434,Y
435,N
436,N
437,N
438,N
439,N
440,N
441,N
442,N
443,N
444,N
445,N
446,Y
447,N
448,N
449,N
450,N
451,N
452,N
453,N
454,N
455,N
456,Y
457,N
458,N
459,N
460,N
461,N
462,N
463,Y
464,N
465,N
466,N
467,Y
468,N
469,N
470,N
471,N
472,N
474,N
475,N
476,Y
477,N
478,N
479,N
480,N
481,N
482,N
483,N
484,N
485,N
486,N
487,N
488,N
489,N
490,N
491,N
492,N
493,N
494,N
495,N
496,N
497,N
498,N
499,N
500,N
501,N
502,N
503,N
504,N
505,N
506,N
507,N
508,N
509,N
510,N
511,N
512,N
513,N
514,Y
515,N
516,N
517,N
518,N
519,N
520,Y
521,Y
522,N
523,N
524,N
525,N
526,N
527,N
528,N
529,N
530,N
531,N
532,Y
533,N
534,N
535,N
536,N
537,Y
538,N
539,N
540,N
541,Y
542,N
543,N
544,N
545,N
546,Y
547,Y
548,N
549,N
550,N
551,N
552,N
553,N
554,N
555,N
556,N
557,N
558,Y
559,N
560,N
561,N
562,Y
563,N
564,N
565,N
566,N
567,N
568,N
570,N
571,N
572,N
573,N
574,N
575,N
576,N
577,Y
578,N
579,N
580,N
581,Y
582,N
583,N
584,N
585,N
586,N
587,N
588,N
589,N
590,N
591,N
592,N
593,Y
594,N
595,N
596,N
597,N
598,N
599,N
600,N
601,Y
602,N
603,Y
604,N
605,N
606,Y
607,N
608,N
609,N
610,N
611,N
612,N
613,N
614,N
615,Y
616,N
617,N
618,Y
619,Y
620,Y
621,Y
622,N
623,N
624,Y
625,Y
626,Y
627,N
628,N
629,N
630,N
631,N
632,Y
633,N
634,N
635,N
636,N
637,N
638,Y
639,Y
640,Y
641,N
642,N
643,N
644,N
645,N
646,N
647,Y
648,N
649,N
650,N
651,N
652,N
653,Y
654,N
655,N
656,Y
657,Y
658,Y
659,N
660,N
661,N
662,N
663,Y
664,N
665,Y
666,N
667,N
668,N
669,Y
670,Y
671,N
672,Y
673,Y
674,N
675,N
676,N
677,N
678,Y
679,N
680,N
681,N
682,N
683,N
684,Y
685,N
686,N
687,Y
688,N
689,N
690,Y
691,N
692,Y
693,Y
694,N
695,Y
696,Y
697,N
698,N
699,N
700,Y
701,N
702,N
703,N
704,N
706,N
707,Y
708,N
709,N
710,Y
711,Y
712,Y
713,N
714,Y
715,Y
716,Y
717,N
718,Y
719,N
720,N
721,N
722,N
723,Y
724,N
725,N
726,N
727,N
728,Y
729,Y
730,Y
731,N
732,N
733,Y
734,N
735,N
736,Y
737,N
738,N
739,Y
740,N
741,Y
742,N
743,Y
744,N
745,Y
746,Y
747,Y
748,N
749,N
750,N
751,Y
752,Y
753,Y
754,N
755,Y
756,Y
757,N
758,N
759,Y
760,N
761,Y
762,Y
799,N
800,Y
801,N
802,Y
803,Y
804,Y
805,N
806,N
808,Y
809,N
810,N
811,N
812,Y
813,N
815,N
816,Y
817,N
818,N
819,Y
820,Y
821,N
822,N
823,N
824,N
825,Y
826,N
827,Y
828,N
829,Y
830,N
831,N
832,N
833,Y
834,N
835,N
836,Y
837,N
838,N
839,Y
840,Y
841,Y
842,N
843,Y
844,N
845,Y
846,Y
847,Y
848,Y
849,Y
850,Y
851,N
852,N
853,N
854,Y
855,Y
856,Y
857,Y
858,N
859,Y
860,Y
861,Y
862,Y
863,Y
864,N
865,N
866,Y
867,Y
868,Y
870,Y
871,Y
872,Y
873,N
874,Y
875,Y
876,Y
877,Y
878,Y
879,Y
880,N
881,Y
882,N
883,N
884,Y
886,Y
888,N
889,Y
890,N
891,Y
893,Y
894,Y
895,N
896,Y
897,Y
900,N
902,Y
903,N
904,Y
905,N
906,N
907,Y
908,Y
909,Y
910,Y
911,N
912,Y
913,N
914,N
915,Y
916,Y
917,Y
918,Y
919,N
920,Y
921,N
922,N
923,N
924,N
925,N
926,N
927,N
928,N
929,N
930,N
931,Y
932,Y
933,N
934,Y
935,Y
936,Y
937,N
938,N
939,N
940,Y
941,N
1115,N
942,N
943,Y
944,Y
945,N
946,N
947,Y
948,N
949,Y
950,N
951,Y
952,N
953,N
954,Y
955,Y
956,N
957,N
958,N
959,N
960,N
961,Y
962,N
963,Y
964,Y
965,N
966,N
967,Y
968,Y
969,Y
970,N
971,N
972,N
973,Y
974,Y
975,Y
976,N
977,N
978,Y
980,Y
981,Y
982,N
983,Y
984,N
985,N
986,N
987,Y
988,N
989,N
990,Y
991,Y
992,N
993,N
994,N
995,Y
996,N
996,N
996,N
996,N
997,Y
998,N
999,Y
1000,N
1001,Y
1002,N
1003,N
1004,N
1005,N
1006,N
1007,N
1008,Y
1009,Y
1010,N
1011,N
1012,Y
1013,N
1014,Y
1015,N
1016,N
1017,N
1018,N
1019,N
1020,N
1021,N
1022,Y
1023,Y
1024,N
1025,Y
1026,Y
1027,Y
1028,N
1029,N
1030,Y
1031,N
1032,N
1033,Y
1034,N
1035,Y
1036,Y
1037,N
1038,N
1039,N
1040,Y
1041,Y
1042,N
1043,N
1044,N
1045,Y
1046,N
1047,N
1048,N
1049,Y
1050,Y
1051,N
1052,Y
1053,N
1054,Y
1055,N
1056,N
1057,Y
1058,Y
1059,Y
1060,Y
1061,Y
1062,Y
1063,N
1065,Y
1066,Y
1067,Y
1068,Y
1069,Y
1070,Y
1071,Y
1072,Y
1073,Y
1074,Y
1075,Y
1077,N
1078,Y
1079,Y
1080,Y
1081,Y
1082,Y
1083,Y
1084,N
1085,Y
1086,N
1087,Y
1088,N
1089,N
1090,Y
1091,N
1097,Y
1098,N
1099,N
1100,N
1102,Y
1103,Y
1104,Y
1105,N
1107,Y
1108,Y
1109,Y
1110,Y
1111,N
1112,Y
1113,Y
1114,Y
