pid,working_group,Int_type,Outcome
1,Water Security,cons_fin,env
1,Water Security,cons_fin,mat_liv_std
1,Water Security,cons_fin,sec_saf
2,Amazon Waters,area_mgmt,env
2,Amazon Waters,area_mgmt,mat_liv_std
2,Amazon Waters,area_mgmt,eco_liv_std
2,Amazon Waters,area_mgmt,health
2,Amazon Waters,area_mgmt,culture
2,Amazon Waters,res_mgmt,env
2,Amazon Waters,res_mgmt,mat_liv_std
2,Amazon Waters,res_mgmt,eco_liv_std
2,Amazon Waters,res_mgmt,health
2,Amazon Waters,res_mgmt,culture
3,Assessing Biocultural Indicators,non_mon,sec_saf
3,Assessing Biocultural Indicators,non_mon,culture
3,Assessing Biocultural Indicators,non_mon,other
4,Better Land-Use Decisions,area_protect,env
4,Better Land-Use Decisions,area_protect,mat_liv_std
4,Better Land-Use Decisions,area_protect,eco_liv_std
4,Better Land-Use Decisions,area_protect,other
4,Better Land-Use Decisions,res_mgmt,env
4,Better Land-Use Decisions,res_mgmt,mat_liv_std
4,Better Land-Use Decisions,res_mgmt,eco_liv_std
4,Better Land-Use Decisions,res_mgmt,other
4,Better Land-Use Decisions,pol_reg,env
4,Better Land-Use Decisions,pol_reg,mat_liv_std
4,Better Land-Use Decisions,pol_reg,eco_liv_std
4,Better Land-Use Decisions,pol_reg,other
4,Better Land-Use Decisions,market,env
4,Better Land-Use Decisions,market,mat_liv_std
4,Better Land-Use Decisions,market,eco_liv_std
4,Better Land-Use Decisions,market,other
4,Better Land-Use Decisions,sus_use,env
4,Better Land-Use Decisions,sus_use,mat_liv_std
4,Better Land-Use Decisions,sus_use,eco_liv_std
4,Better Land-Use Decisions,sus_use,other
5,Coastal Defenses,area_protect,sec_saf
5,Coastal Defenses,restoration,sec_saf
6,Economics of Chinese Ivory Trade,legis,eco_liv_std
6,Economics of Chinese Ivory Trade,pol_reg,eco_liv_std
7,Faith-based conservation,non_mon,soc_rel
7,Faith-based conservation,non_mon,other
7,Faith-based conservation,other,soc_rel
7,Faith-based conservation,other,other
8,Fisheries Measures,res_mgmt,env
8,Fisheries Measures,res_mgmt,eco_liv_std
8,Fisheries Measures,res_mgmt,sec_saf
9,Forests Sharing or Sparing,area_protect,env
9,Forests Sharing or Sparing,area_protect,mat_liv_std
9,Forests Sharing or Sparing,area_protect,eco_liv_std
9,Forests Sharing or Sparing,area_mgmt,env
9,Forests Sharing or Sparing,area_mgmt,mat_liv_std
9,Forests Sharing or Sparing,area_mgmt,eco_liv_std
9,Forests Sharing or Sparing,res_mgmt,env
9,Forests Sharing or Sparing,res_mgmt,mat_liv_std
9,Forests Sharing or Sparing,res_mgmt,eco_liv_std
12,Ridge to Reef fisheries,res_mgmt,env
12,Ridge to Reef fisheries,res_mgmt,eco_liv_std
12,Ridge to Reef fisheries,sus_use,env
12,Ridge to Reef fisheries,sus_use,eco_liv_std
13,Sustainable agricultural intensification,res_mgmt,env
13,Sustainable agricultural intensification,res_mgmt,mat_liv_std
13,Sustainable agricultural intensification,res_mgmt,eco_liv_std
13,Sustainable agricultural intensification,res_mgmt,sec_saf
13,Sustainable agricultural intensification,sus_use,env
13,Sustainable agricultural intensification,sus_use,mat_liv_std
13,Sustainable agricultural intensification,sus_use,eco_liv_std
13,Sustainable agricultural intensification,sus_use,sec_saf
