,aid,Title,Pub_year,Authors,Species,species_group,DOI,FullText,species_habitat
1,1,Impending Trade Suspensions of Caribbean Queen Conch under CITES: A Case Study on Fishery Impacts and Potential for Stock Recovery,2011,"Acosta, CA",Queen conch (Strombus gigas),Invertebrate,http://dx.doi.org/10.1577/1548-8446(2006)31[601:ITSOCQ]2.0.CO;2,N,Marine
2,2,Estimating population size and habitat suitability for mountain nyala in areas with different protection status,2010,"Atickem, A; Loe LE; Langangen, O; Rueness, EK; Bekele, A; Stenseth, NC",Mountain nyala (Tragelaphus buxtoni),Mammal,http://dx.doi.org/10.1111/j.1469-1795.2011.00437.x,N,Terrestrial
3,3,"Phenotypic Alterations, Evolutionarily Significant Structures, and Rhino Conservation",1994,"Berger, J; Berger, J; Cunningham, C","Black rhino (Diceros bicornis), white rhino (Ceratotherium simum)",Mammal,http://dx.doi.org/10.1046/j.1523-1739.1994.08030833.x,N,Terrestrial
4,4,An assessment of bycatch reduction devices in a tropical Australian prawn trawl fishery,1998,"Brewer, D; Rawlinson, N; Eayrs, S; Burridge, C","Prawns plus associated by-catch (stingrays, sharks, sea snakes and sea turtles)",Invertebrate,https://doi.org/10.1016/S0165-7836(98)00096-4,N,Marine
4,4,An assessment of bycatch reduction devices in a tropical Australian prawn trawl fishery,1998,"Brewer, D; Rawlinson, N; Eayrs, S; Burridge, C","Prawns plus associated by-catch (stingrays, sharks, sea snakes and sea turtles)",Fish,https://doi.org/10.1016/S0165-7836(98)00096-4,N,Marine
4,4,An assessment of bycatch reduction devices in a tropical Australian prawn trawl fishery,1998,"Brewer, D; Rawlinson, N; Eayrs, S; Burridge, C","Prawns plus associated by-catch (stingrays, sharks, sea snakes and sea turtles)",Reptile,https://doi.org/10.1016/S0165-7836(98)00096-4,N,Marine
5,5,"Adapting to changing poaching intensity of yellow-shouldered parrot (Amazona barbadensis) nestlings in Margarita Island, Venezuela",2011,"Briceno-Linares, JM; Rodriguez, JP; Rodriguez-Clark, KM; Rojas-Suarez, F ; Millan, PA; Vittori, EG; Carrasco-Munoz, M",yellow-shouldered parrot (Amazona barbadensis),Bird,https://doi.org/10.1016/j.biocon.2010.12.010,N,Terrestrial
6,6,Population recovery of black rhinoceros in north-west Namibia following poaching,2011,"Brodie, JF; Muntifering, J; Hearn, M; Loutit, B; Loutit, R; Brell, B; Uri-Khob, S; Leader-Williams, N; du Preez, P ",Black rhinoceros (Diceros bicornis),Mammal,http://dx.doi.org/10.1111/j.1469-1795.2010.00434.x,N,Terrestrial
7,7,"Population increase at a calving ground of the Endangered Tibetan antelope Pantholops hodgsonii in Xinjiang, China",2012,"Buzzard, PJ; Wong, HM; Zhang, HB",Tibetan antelope (Pantholops hodgsonii),Mammal,https://doi.org/10.1017/S0030605311001657,N,Terrestrial
8,8,Recovery within a population of the Critically Endangered citron-crested cockatoo Cacatua sulphurea citrinocristata in Indonesia after 10 years of international trade control,2006,"Cahill, AJ; Walker, JS; Marsden, SJ ",Citron-crested cockatoo (Cacatua sulphurea citrinocristata),Bird,https://doi.org/10.1017/S0030605306000366,N,Terrestrial
