Term,Definition,Examples,
"Establish laws, regulations and codes","Laws and regulations refer to official legal code governing the sale, transfer and harvest of regulated wildlife and associated products. Codes include formal or voluntary agreements between organizations in the private sector and civil society on sale, transfers and harvest of wildlife and associated products ","Trade bans, trade controls, moratoria, CITES, U.S. Endangered Species Act, Marine Stewardship Council, Forest Stewardship Council, Seafood Watch, national laws and trade regulations, quotas",
Define/refine policies and guidelines for implementation,Policies and guidelines govern how laws and regulations are implemented ,"Input into agency plans regulating species and harvests at all levels, task forces, trade commissions ",
Detection,"Detecting, directly stopping, and/or deterring violations at any point along the supply chain ","Surveillance, patrolling, monitoring trafficking, informer networks, poacher control",
Prosecution,Deterring threat behaviors through legal punishment ,"Trials, convictions, fines ",
Civil action,Deterring undesired behaviors or compliance through civil legal proceedings ,"Law suits, agency enforcement ",
Promote substitutions,"Developing, promoting and/or providing alternative products or practices to substitute for overharvested and/or threatened species ","Drugs for traditional medicines, farmed/aquaculture replacements for wild products, synthetic replicas of wild products (i.e. artificial rhino horn) ",
Awareness raising and building,Promoting awareness and/or emotions and behavior change by providing information to target consumer audiences through various channels ,"Organization campaigns, PSAs, informative lectures, outreach ",
Market-based incentives,Creating incentives to change behavior and attitudes through market mechanisms ,"Boycotts of unsustainable products, certification of products, educating consumers on sustainable products ",
Strengthen disincentives for illegal behavior,Actions that strengthen community engagement in enforcement ,"Training local guards against poachers, community conservation agreements, law enforcement (patrolling and legal action) ",
Increase incentives for stewardship of wildlife,Actions that develop and support initiatives that can generate local benefits from wildlife ,"Increase participation of local stakeholders in management, establish ecotourism enterprises, providing training as nature guides, promote NTFPs, community conservation agreements ",
Decrease human-wildlife conflict,Actions mitigating costs from human-wildlife conflict ,"Providing fencing for livestock, deterrence solutions for wildlife near communities, compensation for losses ",
Establish spatial areas of protection,"Actions that protect key habitats, ecosystems, and/or areas for harvested species ","Wildlife reserves, , protecting spawning breeding and feeding grounds ",
Regulate harvest of species of concern,Actions that limit harvest on populations ,"Quotas, seasonal closures, permitting, gear type, population management ",
Culturing of species to reduce pressure on wild species,Actions that promote raising of desired species in captivity as an alternative to capturing from the wild. This does not include domestication or captive breeding. ,"Culturing, captive breeding, artificial propagation, ranching ",
Management,Changes in management behaviours/plans,"Quotas, harvest restrictions, enforcement, sustainable/unsustainable use, etc... ",
Protection,Changes in protection status,"IUCN threat category, endangered species listing, legal protection ",
Trade,Changes in trade practice,"Decreased trade, trade policies ",
Behaviour change,"Changes in attitudes/prefences towards wildlife, harvesting practices, products","Attitudes/preferences on harvesting practices, valuation of wildlife, consumer preference for products",
Population,"Defined as a group of interbreeding individuals that are spatially, temporally, and/or genetically distinct from another such group","Density, relative abundance, biomass, presence/absence, distribution",
Species,Members of populations that actually or potentially interbreed in nature (Biological Species Concept),"Density, relative abundance, biomass, presence/absence, distribution",
