"","COUNTRY","COUNTS","CODE"
"1","Afghanistan","0","AFG"
"2","Albania","0","ALB"
"3","Algeria","0","DZA"
"4","Andorra","0","AND"
"5","Angola","0","AGO"
"6","Antigua and Barbuda","1","ATG"
"7","Argentina","3","ARG"
"8","Armenia","1","ARM"
"9","Aruba","0","ABW"
"10","Azerbaijan","1","AZE"
"11","Bahamas","3","BHM"
"12","Bahrain","0","BHR"
"13","Bangladesh","31","BGD"
"14","Barbados","2","BRB"
"15","Belarus","0","BLR"
"16","Belize","12","BLZ"
"17","Benin","5","BEN"
"18","Bhutan","4","BTN"
"19","Bolivia","17","BOL"
"20","Bosnia and Herzegovina","0","BIH"
"21","Botswana","22","BWA"
"22","Brazil","50","BRA"
"23","Brunei Darussalam","0","BRN"
"24","Bulgaria","0","BGR"
"25","Burkina Faso","3","BFA"
"26","Burundi","0","BDI"
"27","Cabo Verde","0","CPV"
"28","Cambodia","12","KHM"
"29","Cameroon","31","CMR"
"30","Central African Republic","2","CAF"
"31","Chad","1","TCD"
"32","China","61","CHN"
"33","Colombia","9","COL"
"34","Comoros","1","COM"
"35","Congo","0","COG"
"36","Congo, The Democratic Republic Of The","7","COD"
"37","Costa Rica","25","CRI"
"38","Cote D'Ivoire","2","CIV"
"39","Croatia","0","HRV"
"40","Cuba","1","CUB"
"41","Curacao","0","CUW"
"42","Cyprus","0","CYP"
"43","Djibouti","0","DJI"
"44","Dominica","3","DMA"
"45","Dominican Republic","4","DOM"
"46","Ecuador","18","ECU"
"47","Egypt","2","EGY"
"48","El Salvador","2","SLV"
"49","Equatorial Guinea","0","GNQ"
"50","Eritrea","0","ERI"
"51","Ethiopia","26","ETH"
"52","Fiji","7","FJI"
"53","Gabon","1","GAB"
"54","Gambia","1","GMB"
"55","Georgia","0","GEO"
"56","Ghana","22","GHA"
"57","Grenada","2","GRD"
"58","Guatemala","7","GTM"
"59","Guinea","0","GIN"
"60","Guinea-Bissau","1","GNB"
"61","Guyana","3","GUY"
"62","Haiti","3","HTI"
"63","Honduras","9","HND"
"64","Hong Kong","0","HKG"
"65","India","113","IND"
"66","Indonesia","46","IDN"
"67","Iran, Islamic Republic Of","4","IRN"
"68","Iraq","0","IRQ"
"69","Jamaica","2","JAM"
"70","Jordan","0","JOR"
"71","Kazakhstan","0","KAZ"
"72","Kenya","51","KEN"
"73","Kiribati","0","KIR"
"74","Korea, North","0","KOR"
"75","Kosovo","0","KSV"
"76","Kuwait","0","KWT"
"77","Kyrgyzstan","1","KGZ"
"78","Lao People's Democratic Republic","5","LAO"
"79","Latvia","0","LVA"
"80","Lebanon","1","LBN"
"81","Lesotho","0","LSO"
"82","Liberia","0","LBR"
"83","Libya","0","LBY"
"84","Liechtenstein","0","LIE"
"85","Lithuania","1","LTU"
"86","Macau","0","MAC"
"87","Macedonia","0","MKD"
"88","Madagascar","20","MDG"
"89","Malawi","12","MWI"
"90","Malaysia","10","MYS"
"91","Maldives","0","MDV"
"92","Mali","1","MLI"
"93","Malta","1","MLT"
"94","Marshall Islands","0","MHL"
"95","Mauritania","0","MRT"
"96","Mauritius","1","MUS"
"97","Micronesia, Federated States of","0","FSM"
"98","Moldova","0","MDA"
"99","Monaco","0","MCO"
"100","Mongolia","4","MNG"
"101","Montenegro","0","MNE"
