BIOME,ECOREGION
forest,Tropical & Subtropical Moist Broadleaf Forests
forest,Tropical & Subtropical Dry Broadleaf Forests
forest,Tropical & Subtropical Coniferous Forests
forest,Temperate Broadleaf & Mixed Forests
forest,Temperate Conifer Forests
forest,Boreal Forests/Taiga
grass,"Tropical & Subtropical Grasslands, Savannas & Shrublands"
grass,"Temperate Grasslands, Savannas & Shrublands"
grass,Flooded Grasslands & Savannas
grass,Montane Grasslands & Shrublands
tundra,Tundra
forest,"Mediterranean Forests, Woodlands & Scrub"
desert,Deserts & Xeric Shrublands
mangrove,Mangroves
